virlimit,padlimit,recall (%),coverage (%),expected_bpas,fold-enrichment,p-value
0.5,0.5,90.91,31.7,20.41,2.94,9.499424061258958e-24
0.5,0.55,90.91,31.67,20.41,2.94,9.030398555330339e-24
0.5,0.6,90.91,31.63,20.38,2.94,8.440226699223697e-24
0.5,0.65,90.91,31.61,20.35,2.95,8.02260135395036e-24
0.5,0.7,90.91,31.58,20.32,2.95,7.690127269651302e-24
0.5,0.75,90.91,31.56,20.32,2.95,7.308972889344506e-24
0.5,0.8,90.91,31.54,20.32,2.95,7.12541094475619e-24
0.5,0.85,90.91,31.52,20.32,2.95,6.887683623948049e-24
0.5,0.9,90.91,31.51,20.32,2.95,6.771756486743836e-24
0.5,0.95,90.91,31.51,20.32,2.95,6.771756486743836e-24
0.55,0.5,90.91,30.88,19.85,3.02,2.0898069101709937e-24
0.55,0.55,90.91,30.85,19.85,3.02,1.983752068207705e-24
0.55,0.6,90.91,30.79,19.82,3.03,1.787245404540049e-24
0.55,0.65,90.91,30.75,19.78,3.03,1.6381906852659596e-24
0.55,0.7,90.91,30.71,19.75,3.04,1.5411831614697286e-24
0.55,0.75,90.91,30.67,19.72,3.04,1.424707070092637e-24
0.55,0.8,90.91,30.65,19.72,3.04,1.3757556630281418e-24
0.55,0.85,90.91,30.64,19.72,3.04,1.3284560613240317e-24
0.55,0.9,90.91,30.63,19.72,3.04,1.3054085180958988e-24
0.55,0.95,90.91,30.63,19.72,3.04,1.3054085180958988e-24
0.6,0.5,90.91,30.04,19.47,3.08,4.284171230334875e-25
0.6,0.55,90.91,30.01,19.47,3.08,4.0242984367835813e-25
0.6,0.6,90.91,29.94,19.44,3.09,3.518427391322271e-25
0.6,0.65,90.91,29.87,19.41,3.09,3.102884745446747e-25
0.6,0.7,90.91,29.84,19.38,3.1,2.913577921986862e-25
0.6,0.75,90.91,29.8,19.35,3.1,2.686765613227478e-25
0.6,0.8,90.91,29.78,19.35,3.1,2.568344165500758e-25
0.6,0.85,90.91,29.76,19.35,3.1,2.4773093870107643e-25
0.6,0.9,90.91,29.73,19.35,3.1,2.367959985740053e-25
0.6,0.95,90.91,29.73,19.35,3.1,2.346665686104222e-25
0.65,0.5,90.91,29.03,18.97,3.16,5.949316802020812e-26
