virlimit,padlimit,recall (%),coverage (%),expected_bpas,fold-enrichment,p-value
0.65,0.55,90.91,28.99,18.97,3.16,5.524016983313465e-26
0.65,0.6,90.91,28.91,18.94,3.17,4.6732289370558843e-26
0.65,0.65,90.91,28.84,18.91,3.17,4.0636348961025864e-26
0.65,0.7,90.91,28.81,18.88,3.18,3.8065676991538575e-26
0.65,0.75,90.91,28.76,18.84,3.18,3.4345181914072973e-26
0.65,0.8,90.91,28.73,18.84,3.18,3.277437560606627e-26
0.65,0.85,90.91,28.71,18.84,3.18,3.1274153958133644e-26
0.65,0.9,90.91,28.69,18.84,3.18,2.984140198077186e-26
0.65,0.95,90.91,28.68,18.84,3.18,2.9562683392777153e-26
0.7,0.5,89.39,27.94,18.5,3.19,1.4634680809304584e-25
0.7,0.55,89.39,27.91,18.5,3.19,1.3571907554198073e-25
0.7,0.6,89.39,27.81,18.47,3.19,1.1235192696143478e-25
0.7,0.65,89.39,27.74,18.44,3.2,9.65430274689317e-26
0.7,0.7,89.39,27.71,18.4,3.21,9.033332341249738e-26
0.7,0.75,89.39,27.66,18.37,3.21,8.135851120538603e-26
0.7,0.8,89.39,27.62,18.34,3.22,7.538686592960602e-26
0.7,0.85,89.39,27.59,18.34,3.22,7.051600935604792e-26
0.7,0.9,89.39,27.56,18.31,3.22,6.658780022280585e-26
0.7,0.95,89.39,27.55,18.31,3.22,6.595431436514703e-26
0.75,0.5,89.39,26.7,17.65,3.34,1.1025153511461351e-26
0.75,0.55,89.39,26.66,17.65,3.34,1.0186128670255914e-26
0.75,0.6,89.39,26.56,17.62,3.35,8.107645035167886e-27
0.75,0.65,89.39,26.48,17.59,3.35,6.844835464637369e-27
0.75,0.7,89.39,26.43,17.5,3.37,6.132805453462468e-27
0.75,0.75,89.39,26.37,17.46,3.38,5.49360102425336e-27
0.75,0.8,89.39,26.33,17.43,3.38,4.969527670054864e-27
0.75,0.85,89.39,26.29,17.43,3.38,4.540016046113819e-27
0.75,0.9,89.39,26.25,17.4,3.39,4.231337485279614e-27
0.75,0.95,89.39,26.23,17.4,3.39,4.064297124541496e-27
0.8,0.5,89.39,25.46,17.12,3.45,7.356933047487331e-28
0.8,0.55,89.39,25.39,17.09,3.45,6.358894767084169e-28
0.8,0.6,89.39,25.27,17.06,3.46,4.845503515667035e-28
0.8,0.65,89.39,25.19,17.03,3.46,4.053530048714073e-28
0.8,0.7,89.39,25.12,16.93,3.48,3.461243082859259e-28
0.8,0.75,89.39,25.06,16.9,3.49,3.0172716487798017e-28
0.8,0.8,89.39,25.0,16.87,3.5,2.6015990499590632e-28
0.8,0.85,89.39,24.95,16.87,3.5,2.3396464420637877e-28
0.8,0.9,89.39,24.92,16.84,3.5,2.1488825035965622e-28
0.8,0.95,89.39,24.88,16.84,3.5,1.9734073198228943e-28
0.85,0.5,89.39,23.89,16.08,3.67,1.9630877778473846e-29
0.85,0.55,89.39,23.8,16.02,3.68,1.5885124849488712e-29
0.85,0.6,89.39,23.66,15.99,3.69,1.1099746172689224e-29
0.85,0.65,89.39,23.57,15.96,3.7,9.063384146473868e-30
0.85,0.7,89.39,23.48,15.83,3.73,7.311723274017373e-30
0.85,0.75,89.39,23.38,15.74,3.75,5.6958623007234e-30
0.85,0.8,89.39,23.3,15.71,3.76,4.692524996675392e-30
0.85,0.85,89.39,23.25,15.68,3.76,4.0909434514150036e-30
0.85,0.9,89.39,23.2,15.65,3.77,3.648008238116483e-30
0.85,0.95,86.36,23.15,15.65,3.64,1.7618307396101146e-27
0.9,0.5,86.36,21.89,14.64,3.89,8.046192976852515e-29
0.9,0.55,86.36,21.77,14.55,3.92,6.008024792763766e-29
0.9,0.6,86.36,21.59,14.52,3.93,3.796542697461503e-29
0.9,0.65,86.36,21.47,14.45,3.94,2.789346967402566e-29
0.9,0.7,86.36,21.33,14.27,3.99,1.9734282921323086e-29
0.9,0.75,86.36,21.21,14.14,4.03,1.4442003392817707e-29
0.9,0.8,86.36,21.1,14.11,4.04,1.0807734839633406e-29
0.9,0.85,86.36,21.04,14.08,4.05,9.343797783698783e-30
0.9,0.9,86.36,20.98,14.05,4.06,7.88047076745106e-30
0.9,0.95,80.3,20.91,14.02,3.78,7.868214919803613e-25
0.95,0.5,86.36,19.13,12.67,4.5,4.784124038535112e-32
0.95,0.55,86.36,18.99,12.54,4.55,3.191914067576704e-32
0.95,0.6,86.36,18.77,12.45,4.58,1.7057275353325356e-32
0.95,0.65,86.36,18.61,12.32,4.63,1.0390701385644777e-32
0.95,0.7,86.36,18.43,12.1,4.71,6.126341670413135e-33
0.95,0.75,86.36,18.27,11.91,4.79,3.748156155160353e-33
0.95,0.8,86.36,18.11,11.85,4.81,2.348503046238863e-33
0.95,0.85,86.36,18.01,11.76,4.85,1.740404867282322e-33
0.95,0.9,83.33,17.91,11.73,4.69,7.91696818317305e-31
0.95,0.95,77.27,17.82,11.7,4.36,7.405322565160918e-26
